year,month,monthNum,fatalities
2021,Dec.21,11,16
2021,Nov.21,10,16
2021,Oct.21,9,35
2021,Sep.21,8,88
2021,Aug.21,7,117
2021,Jul.21,6,100
2021,Jun.21,5,127
2021,May.21,4,90
2021,Apr.21,3,128
2021,Mar.21,2,145
2021,Feb.21,1,160
2021,Jan.21,0,300
2020,Dec.20,11,319
2020,Nov.20,10,225
2020,Oct.20,9,157
2020,Sep.20,8,164
2020,Aug.20,7,247
2020,Jul.20,6,215
2020,Jun.20,5,187
2020,May.20,4,278
2020,Apr.20,3,446
2020,Mar.20,2,179
2020,Feb.20,1,90
2020,Jan.20,0,93
2019,Dec.19,11,90
2019,Nov.19,10,112
2019,Oct.19,9,124
2019,Sep.19,8,126
2019,Aug.19,7,139
2019,Jul.19,6,166
2019,Jun.19,5,129
2019,May.19,4,102
2019,Apr.19,3,133
2019,Mar.19,2,98
2019,Feb.19,1,77
2019,Jan.19,0,96
2018,Dec.18,11,84
2018,Nov.18,10,82
2018,Oct.18,9,103
2018,Sep.18,8,108
2018,Aug.18,7,125
2018,Jul.18,6,148
2018,Jun.18,5,102
2018,May.18,4,132
2018,Apr.18,3,105
2018,Mar.18,2,131
2018,Feb.18,1,78
2018,Jan.18,0,75
2017,Dec.17,11,103
2017,Nov.17,10,112
2017,Oct.17,9,125
2017,Sep.17,8,117
2017,Aug.17,7,124
2017,Jul.17,6,99
2017,Jun.17,5,105
2017,May.17,4,113
2017,Apr.17,3,106
2017,Mar.17,2,82
2017,Feb.17,1,86
2017,Jan.17,0,89
